file,emotion,pitch,energy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,neutral,274.12747,0.009507216,-383.92242,54.89004,0.6634651,12.435786,7.7339506,0.5307502,-3.2166305,-3.1593943,-10.9775505,-2.8487108,0.8152979,-3.0370667,1.9554482
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,neutral,275.57132,0.0082280785,-392.7722,55.3639,-1.548319,16.038305,8.81881,-0.14658602,-1.3733916,-5.293179,-11.623184,-1.3482834,0.8437146,-2.641278,1.0172496
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,neutral,274.69308,0.007467207,-413.0365,58.024662,0.15946393,13.62465,5.3741117,1.1623362,-2.0833595,-5.3825855,-10.332823,-3.6620812,0.5606008,-2.838226,1.8347847
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,neutral,269.56583,0.006216078,-411.59604,55.87942,2.7832615,13.252023,6.989668,2.981274,-1.5860295,-6.961661,-10.348489,-3.270769,1.1761655,-1.498656,0.55154896
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,calm,276.22238,0.012873527,-368.5909,62.355034,3.1211805,15.064671,8.132433,1.9270837,-3.2746575,-3.7617922,-9.7502985,-4.853837,0.99631554,-3.1160705,0.5463199
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,calm,274.54422,0.00936438,-368.65906,66.73646,2.2534883,11.169915,9.742079,1.0580921,-4.426185,-4.6836147,-8.313273,-4.8136663,1.7525572,-2.3765419,-0.20691906
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,calm,274.15714,0.012563065,-376.41324,65.10821,0.9303685,13.633629,5.959596,2.8950706,-1.341819,-4.775753,-8.671516,-4.5529985,1.9706055,-1.627646,1.4267255
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,calm,274.41745,0.009041364,-398.98886,68.69859,1.1003675,13.685944,8.338751,2.067122,-0.6167903,-5.732325,-7.861324,-4.411918,1.0114726,-1.705865,1.5934337
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,calm,270.02023,0.011551073,-361.00876,70.53291,4.225179,13.866501,9.276525,1.8420299,-3.709107,-2.884508,-6.3325033,-4.483916,2.0064912,-0.029675484,-0.17859049
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,calm,274.32266,0.009554162,-342.8093,67.33959,-0.4495516,11.884349,6.899115,0.5723893,-4.5503755,-6.025094,-7.934867,-4.872442,2.6747525,-1.4644696,-1.1086303
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,calm,274.3527,0.019613467,-329.70862,68.82944,4.7289543,11.950599,5.6388817,5.834093,-4.8624907,-4.8628,-8.308452,-4.8761907,2.3179216,1.222751,0.59549415
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,calm,274.20544,0.0129367,-346.1871,65.29337,-3.5145006,14.551637,6.7378383,2.9514792,-4.3670077,-8.268066,-9.742737,-3.7135782,3.7736468,-0.95878845,-0.26622257
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,happy,274.26096,0.015004463,-367.04245,63.116707,-4.3889437,12.588354,4.241159,-2.902261,-5.6718726,-6.6233625,-11.532383,-2.3804133,-1.2910128,-6.802653,1.1827935
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,happy,274.47742,0.0122532025,-377.04944,62.999477,-5.8192096,15.460055,6.5266376,-1.5888861,-6.597417,-4.8063283,-13.677246,-1.3645008,0.1333669,-6.366865,3.4054475
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,happy,268.7467,0.016331112,-362.0734,62.20653,-2.343208,12.91607,1.8241278,-0.17071323,-5.66999,-7.286775,-13.776977,-3.3122003,2.3617573,-7.0014296,1.9307767
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,happy,275.28668,0.018655373,-345.33432,57.02253,0.4184397,18.289316,2.6309874,0.41835555,-2.5292726,-6.284705,-13.434198,-3.6181443,0.6169866,-4.589427,2.5763226
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,happy,274.25757,0.007619401,-393.2469,49.15078,-5.9865155,5.608567,-1.271636,-1.2067622,-12.03728,-8.814259,-11.101426,-8.968306,-0.68171066,-7.0525794,-1.9013772
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,happy,274.47015,0.007582135,-383.47302,54.875935,-11.518559,5.495306,2.41587,-1.8642924,-11.11178,-7.59675,-14.508148,-7.4336452,3.2631514,-7.8864737,-1.6498963
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,happy,274.32254,0.019151473,-314.56503,48.02012,-10.221419,7.8318186,-0.17214894,-2.1730673,-10.422513,-9.233612,-17.878965,-4.913381,0.0017014447,-9.143921,0.11875628
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,happy,268.88315,0.013127861,-347.60638,49.672794,-8.996246,6.914048,-1.1240022,-3.3295467,-9.793235,-9.628174,-17.208342,-7.140059,-1.7678517,-7.01247,-0.28077137
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,sad,268.99533,0.006647308,-377.81216,60.804207,-1.9560473,14.204766,6.8270884,-2.8811657,-2.4629226,-8.663905,-11.039645,-4.4540396,-4.2584867,-1.6950514,-0.85821444
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,sad,274.95694,0.0070034903,-386.5149,65.49691,-1.0995516,16.531912,8.523047,-0.46712226,0.1738209,-7.5890493,-10.304403,-5.52547,-1.7454493,-2.0158572,-1.7528471
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,sad,274.9821,0.009212692,-395.4796,60.409447,-3.443985,14.033259,6.5901713,-1.7684734,-1.7315749,-7.5691485,-10.976078,-3.8221767,-0.99658245,-1.3543684,-1.2844799
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,sad,268.67175,0.011312478,-387.73138,59.567207,0.7109442,15.6037,6.023352,-0.16229282,1.2461177,-7.515769,-12.228474,-3.9741051,-2.3960717,-2.4673667,-0.06185328
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,sad,275.15518,0.011047787,-365.10938,62.426228,0.9023575,16.833582,7.8117805,-1.8475591,-0.9106531,-7.485837,-9.4192705,-1.5074185,-2.4400964,-2.624328,-0.14111464
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,sad,274.31705,0.0067207,-405.98868,50.890545,-4.893386,10.5070715,3.7041092,-3.614306,-8.667971,-7.146425,-15.135483,-4.434602,-2.2045414,-6.959076,0.33116093
C:\Users\Sidath Mendis\Desktop\Reasearch\System-implementation\MaCoDeR\datasets\raw\RAVDESS\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,sad,275.24307,0.010632763,-373.62283,54.993256,-5.7295046,13.725473,3.9384527,-2.7418926,-6.8177385,-9.286634,-18.480108,-4.893464,-2.2725978,-7.2611017,0.36146054
