avg_ear,blink_rate,gaze_stability,movement_score,stress_score,cognitive_load,deception_risk,cognitive_state
0.31,10,0.95,1.0,LOW,LOW,LOW,FOCUSED
0.30,12,0.92,1.2,LOW,LOW,LOW,FOCUSED
0.29,11,0.90,1.4,LOW,LOW,LOW,FOCUSED
0.32,9,0.96,0.9,LOW,LOW,LOW,FOCUSED
0.30,13,0.91,1.3,LOW,LOW,LOW,FOCUSED
0.31,10,0.94,1.1,LOW,LOW,LOW,FOCUSED
0.29,14,0.88,1.5,LOW,LOW,LOW,FOCUSED
0.30,12,0.93,1.0,LOW,LOW,LOW,FOCUSED
0.28,15,0.55,4.5,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.27,16,0.50,5.2,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.26,18,0.45,5.8,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.29,17,0.52,4.9,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.28,15,0.48,5.4,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.27,19,0.40,6.0,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.29,16,0.50,5.1,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.28,17,0.46,5.6,MEDIUM,MEDIUM,HIGH,DISTRACTED
0.24,25,0.70,4.8,HIGH,HIGH,MEDIUM,OVERLOADED
0.23,28,0.65,5.5,HIGH,HIGH,MEDIUM,OVERLOADED
0.22,30,0.60,6.0,HIGH,HIGH,MEDIUM,OVERLOADED
0.25,24,0.72,4.6,HIGH,HIGH,MEDIUM,OVERLOADED
0.23,27,0.66,5.2,HIGH,HIGH,MEDIUM,OVERLOADED
0.24,29,0.62,5.8,HIGH,HIGH,MEDIUM,OVERLOADED
0.22,31,0.58,6.2,HIGH,HIGH,MEDIUM,OVERLOADED
0.25,26,0.69,5.0,HIGH,HIGH,MEDIUM,OVERLOADED
