emotion,temporal_emotion,final_emotion,stress_level,cognitive_load,deception_risk,cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,timestamp
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.91,0.45,STABLE,0,0,CENTER,1.0,0,"{'yaw': -5.19, 'pitch': 7.55, 'roll': 0.04}",calm,0.39,medium,0.45,2026-07-05 10:15:07
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,STABLE,0,0,CENTER,1.0,0,"{'yaw': -5.5, 'pitch': 9.37, 'roll': 0.06}",disgust,0.2683333333333333,medium,0.39,2026-07-05 10:15:08
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,STABLE,0,0,CENTER,1.0,0,"{'yaw': -5.03, 'pitch': 7.87, 'roll': 0.08}",disgust,0.295,medium,0.4,2026-07-05 10:15:08
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.94,0.45,STABLE,0,0,CENTER,1.0,0,"{'yaw': -4.65, 'pitch': 5.47, 'roll': 0.09}",disgust,0.30833333333333335,low,0.3567,2026-07-05 10:15:08
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.91,0.45,STABLE,0,1.73,CENTER,1.0,0,"{'yaw': -4.28, 'pitch': 6.75, 'roll': 0.09}",disgust,0.325,low,0.36,2026-07-05 10:15:09
sad,sad,sad,LOW,LOW,LOW,Stable emotional condition,0.82,0.45,STABLE,0,1.67,CENTER,1.0,0,"{'yaw': -4.17, 'pitch': 7.54, 'roll': 0.07}",disgust,0.325,medium,0.42,2026-07-05 10:15:09
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.82,0.45,STABLE,0,1.57,CENTER,1.0,0,"{'yaw': -5.22, 'pitch': 7.49, 'roll': 0.08}",disgust,0.335,medium,0.4267,2026-07-05 10:15:10
sad,sad,sad,LOW,LOW,LOW,Stable emotional condition,0.91,0.45,STABLE,0,1.48,CENTER,1.0,0,"{'yaw': -4.79, 'pitch': 7.14, 'roll': 0.09}",disgust,0.3383333333333333,medium,0.3933,2026-07-05 10:15:10
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.93,0.45,STABLE,1,1.42,CENTER,1.0,0,"{'yaw': -5.3, 'pitch': 7.64, 'roll': 0.08}",disgust,0.31833333333333336,medium,0.4133,2026-07-05 10:15:11
sad,sad,sad,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,STABLE,1,1.44,CENTER,1.0,0,"{'yaw': -5.85, 'pitch': 7.43, 'roll': 0.08}",disgust,0.335,medium,0.4267,2026-07-05 10:15:11
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,STABLE,1,1.41,CENTER,1.0,0,"{'yaw': -5.7, 'pitch': 7.59, 'roll': 0.08}",disgust,0.30833333333333335,medium,0.3867,2026-07-05 10:15:12
fear,fear,fear,LOW,LOW,LOW,Negative emotional state,1.0,0.6816666666666666,FLUCTUATING,1,1.64,CENTER,1.0,0,"{'yaw': -7.27, 'pitch': 7.2, 'roll': 0.06}",fear,0.4633333333333333,medium,0.4667,2026-07-05 10:15:12
sad,sad,sad,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,1.77,CENTER,1.0,0,"{'yaw': -7.38, 'pitch': 7.13, 'roll': 0.06}",fear,0.46,medium,0.4067,2026-07-05 10:15:13
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,1.9,CENTER,1.0,0,"{'yaw': -7.14, 'pitch': 5.9, 'roll': 0.07}",disgust,0.295,medium,0.3667,2026-07-05 10:15:13
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,2.08,CENTER,1.0,0,"{'yaw': -8.04, 'pitch': 6.03, 'roll': 0.07}",disgust,0.24444444444444446,medium,0.3833,2026-07-05 10:15:13
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,2.31,CENTER,1.0,0,"{'yaw': -8.81, 'pitch': 5.73, 'roll': 0.08}",fear,0.32666666666666666,medium,0.41,2026-07-05 10:15:14
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,2.42,CENTER,1.0,0,"{'yaw': -8.82, 'pitch': 6.59, 'roll': 0.07}",disgust,0.27666666666666667,medium,0.37,2026-07-05 10:15:14
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,2.41,CENTER,1.0,0,"{'yaw': -7.71, 'pitch': 6.5, 'roll': 0.06}",disgust,0.33166666666666667,medium,0.42,2026-07-05 10:15:15
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,1.0,0.45,FLUCTUATING,1,2.4,CENTER,1.0,0,"{'yaw': -6.49, 'pitch': 5.61, 'roll': 0.08}",disgust,0.285,medium,0.43,2026-07-05 10:15:15
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.89,0.45,FLUCTUATING,1,2.43,CENTER,1.0,0,"{'yaw': -4.98, 'pitch': 5.4, 'roll': 0.09}",disgust,0.305,medium,0.44,2026-07-05 10:15:16
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.82,0.45,FLUCTUATING,1,2.54,CENTER,1.0,0,"{'yaw': -3.93, 'pitch': 4.83, 'roll': 0.11}",fear,0.25,medium,0.4367,2026-07-05 10:15:17
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.89,0.45,STABLE,1,2.74,CENTER,1.0,0,"{'yaw': -2.94, 'pitch': 4.34, 'roll': 0.12}",calm,0.24333333333333335,medium,0.3867,2026-07-05 10:15:17
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.89,0.45,STABLE,1,2.81,CENTER,1.0,0,"{'yaw': -3.99, 'pitch': 4.67, 'roll': 0.12}",disgust,0.2577777777777778,medium,0.3733,2026-07-05 10:15:18
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.89,0.45,STABLE,1,2.85,CENTER,1.0,0,"{'yaw': -3.46, 'pitch': 5.27, 'roll': 0.1}",disgust,0.2611111111111111,medium,0.37,2026-07-05 10:15:18
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.9,0.45,STABLE,2,2.82,CENTER,1.0,0,"{'yaw': -4.51, 'pitch': 5.48, 'roll': 0.09}",disgust,0.23111111111111116,medium,0.3867,2026-07-05 10:15:19
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.9,0.45,STABLE,2,2.85,CENTER,1.0,0,"{'yaw': -4.5, 'pitch': 4.49, 'roll': 0.1}",fear,0.32666666666666666,medium,0.39,2026-07-05 10:15:19
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.87,0.45,STABLE,2,2.81,CENTER,1.0,0,"{'yaw': -4.63, 'pitch': 6.07, 'roll': 0.09}",fear,0.6761904761904762,medium,0.4267,2026-07-05 10:15:20
neutral,neutral,neutral,LOW,LOW,LOW,Stable emotional condition,0.89,0.45,STABLE,2,2.76,CENTER,1.0,0,"{'yaw': -5.28, 'pitch': 5.91, 'roll': 0.09}",fear,0.6,medium,0.3767,2026-07-05 10:15:20
