emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,neutral,0.0,LOW,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:04:15
fear,fear,LOW,Negative emotional state,0.91,0.81,0,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,15.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:04:18
neutral,neutral,LOW,Stable emotional condition,0.91,0.91,0,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:04:19
fear,fear,LOW,Negative emotional state,1.0,0.9,1,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,15.3,LOW,LOW,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:04:20
fear,fear,LOW,Negative emotional state,1.0,0.65,1,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,15.3,LOW,LOW,11.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,2026-07-07 17:04:21
neutral,neutral,LOW,Stable emotional condition,0.76,0.77,1,neutral,0.0,LOW,0.0,0.0,neutral,,LOW,0.0,5.2,LOW,LOW,12.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,2026-07-07 17:04:21
fear,fear,LOW,Negative emotional state,0.77,0.88,1,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,17.0,LOW,LOW,13.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.5, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,2026-07-07 17:04:22
fear,fear,LOW,Negative emotional state,0.78,0.97,1,neutral,0.0,LOW,0.0,0.0,fear,,LOW,0.0,17.0,LOW,LOW,12.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",STABLE,2026-07-07 17:04:23
sad,sad,LOW,Stable emotional condition,0.84,0.99,1,neutral,0.0,LOW,0.0,0.0,sad,,LOW,0.0,17.0,LOW,LOW,12.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,2026-07-07 17:04:24
fear,fear,LOW,Negative emotional state,0.85,0.709,1,fear,0.2571428571428571,medium,0.4067,0.0,fear,True,LOW,0.0,17.0,LOW,LOW,13.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",FLUCTUATING,2026-07-07 17:04:35
