emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,timestamp
fear,0.87,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.89,0.87,STABLE,0,0,CENTER,1.0,0,"{'yaw': -2.49, 'pitch': 2.1, 'roll': -0.11}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Negative emotional state,2026-07-07 17:56:22
neutral,0.73,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.89,0.73,STABLE,0,0,CENTER,1.0,0,"{'yaw': -0.43, 'pitch': 2.89, 'roll': -0.14}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,3.0,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-07 17:56:23
fear,0.85,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.85,STABLE,0,0,CENTER,1.0,0,"{'yaw': -2.05, 'pitch': 2.06, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.0,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Negative emotional state,2026-07-07 17:56:24
happy,0.48,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.48,STABLE,0,0,CENTER,1.0,0,"{'yaw': -0.93, 'pitch': 3.04, 'roll': -0.14}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,0.0,11.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,2026-07-07 17:56:25
happy,0.88,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.88,STABLE,0,1.54,CENTER,1.0,0,"{'yaw': -2.21, 'pitch': 4.06, 'roll': -0.12}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,0.8,11.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 0.8}",Stable emotional condition,2026-07-07 17:56:25
fear,0.86,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.91,0.86,STABLE,0,1.53,CENTER,1.0,0,"{'yaw': -0.57, 'pitch': 2.4, 'roll': -0.12}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.8,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.0, 'eye_avoidance': 0.0, 'head_movement': 0.8}",Negative emotional state,2026-07-07 17:56:26
sad,0.98,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.98,STABLE,0,1.74,CENTER,1.0,0,"{'yaw': -0.13, 'pitch': 4.3, 'roll': -0.14}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,15.9,12.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.5, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Stable emotional condition,2026-07-07 17:56:27
neutral,0.86,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.86,STABLE,1,1.78,CENTER,1.0,0,"{'yaw': -0.9, 'pitch': 4.38, 'roll': -0.19}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,4.2,13.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.9, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Stable emotional condition,2026-07-07 17:56:28
fear,0.46,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.46,STABLE,1,1.81,CENTER,1.0,0,"{'yaw': -0.73, 'pitch': 4.64, 'roll': -0.16}",neutral,0.0,LOW,0.0,0.0,,LOW,0.0,16.2,13.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.1, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Negative emotional state,2026-07-07 17:56:28
neutral,0.93,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.651,FLUCTUATING,1,1.94,CENTER,1.0,0,"{'yaw': 0.24, 'pitch': 1.75, 'roll': -0.14}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,4.3,13.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.3, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Stable emotional condition,2026-07-07 17:56:41
fear,0.56,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.392,FLUCTUATING,2,1.9,CENTER,1.0,0,"{'yaw': -1.71, 'pitch': 2.37, 'roll': -0.17}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,16.6,14.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.5, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Negative emotional state,2026-07-07 17:56:43
angry,0.85,angry,angry,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.595,UNSTABLE,2,1.84,CENTER,1.0,0,"{'yaw': -1.43, 'pitch': 3.83, 'roll': -0.11}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,16.6,14.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.6, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Negative emotional state,2026-07-07 17:56:44
neutral,0.8,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.56,UNSTABLE,2,1.78,CENTER,1.0,0,"{'yaw': -0.74, 'pitch': 2.85, 'roll': -0.13}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,4.6,14.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.7, 'eye_avoidance': 0.0, 'head_movement': 0.9}",Stable emotional condition,2026-07-07 17:56:45
fear,0.93,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.651,UNSTABLE,2,2.02,CENTER,1.0,0,"{'yaw': -2.67, 'pitch': 5.63, 'roll': -0.12}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,16.7,14.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.8, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Negative emotional state,2026-07-07 17:56:45
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.7,FLUCTUATING,2,2.02,CENTER,1.0,0,"{'yaw': -2.27, 'pitch': 2.4, 'roll': -0.15}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,4.7,14.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.9, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Stable emotional condition,2026-07-07 17:56:46
neutral,0.8,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.56,FLUCTUATING,2,1.96,CENTER,1.0,0,"{'yaw': -0.77, 'pitch': 3.33, 'roll': -0.12}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,4.6,14.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 13.0, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Stable emotional condition,2026-07-07 17:56:46
neutral,0.65,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.455,FLUCTUATING,3,2.07,CENTER,1.0,0,"{'yaw': 0.85, 'pitch': 4.37, 'roll': -0.14}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,5.0,13.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 12.2, 'eye_avoidance': 0.0, 'head_movement': 1.0}",Stable emotional condition,2026-07-07 17:56:47
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.7,FLUCTUATING,3,2.37,CENTER,1.0,0,"{'yaw': -4.97, 'pitch': 3.84, 'roll': -0.21}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,5.2,13.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.5, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Stable emotional condition,2026-07-07 17:56:48
fear,0.53,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.371,FLUCTUATING,3,2.33,CENTER,1.0,0,"{'yaw': -0.4, 'pitch': 2.81, 'roll': -0.15}",sad,0.34,medium,0.43,0.0,False,LOW,0.0,17.2,13.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:56:49
fear,0.89,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.623,FLUCTUATING,3,2.31,CENTER,1.0,0,"{'yaw': -2.36, 'pitch': 4.14, 'roll': -0.17}",sad,0.34,medium,0.4533,0.0,False,LOW,0.0,17.2,12.9,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.1, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:56:50
fear,0.94,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.658,FLUCTUATING,3,2.33,CENTER,1.0,0,"{'yaw': -3.17, 'pitch': 3.85, 'roll': -0.21}",sad,0.34,medium,0.4533,0.0,False,LOW,0.0,17.2,12.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.5, 'eye_avoidance': 0.0, 'head_movement': 1.2}",Negative emotional state,2026-07-07 17:56:51
neutral,0.64,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.89,0.448,STABLE,3,2.28,CENTER,1.0,0,"{'yaw': -1.18, 'pitch': 3.91, 'roll': -0.11}",sad,0.34,medium,0.4533,0.0,False,LOW,0.0,5.1,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.7, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Stable emotional condition,2026-07-07 17:56:51
fear,0.72,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.504,STABLE,3,2.29,CENTER,1.0,0,"{'yaw': -2.99, 'pitch': 4.25, 'roll': -0.21}",sad,0.34,medium,0.4533,0.0,False,LOW,0.0,17.1,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.9, 'eye_avoidance': 0.0, 'head_movement': 1.1}",Negative emotional state,2026-07-07 17:56:52
neutral,1.0,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.7,STABLE,3,2.56,CENTER,1.0,0,"{'yaw': -5.91, 'pitch': 4.68, 'roll': -0.16}",sad,0.34,medium,0.4533,0.0,False,LOW,0.0,5.3,12.2,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.1, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,2026-07-07 17:56:53
