emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,final_emotion,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,unknown,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,2026-07-08 13:23:33
happy,happy,LOW,Stable emotional condition,0.94,0.652,0,0.733,neutral,0.0,LOW,0.0,0.0,0.0,happy,,LOW,0.0,0.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:37
fear,fear,LOW,Negative emotional state,1.0,0.646,0,0.734,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,15.0,LOW,LOW,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:37
fear,fear,LOW,Negative emotional state,1.0,0.322,0,0.731,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,15.0,LOW,LOW,9.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:38
neutral,neutral,LOW,Stable emotional condition,0.82,0.515,0,0.726,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,3.0,LOW,LOW,10.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:39
neutral,neutral,LOW,Stable emotional condition,0.83,0.371,1,0.728,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,5.2,LOW,LOW,10.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 9.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:39
fear,fear,LOW,Negative emotional state,0.83,0.705,1,0.727,neutral,0.0,LOW,0.0,0.0,0.0,fear,,LOW,0.0,17.1,LOW,LOW,11.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 1.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:40
surprise,surprise,LOW,Stable emotional condition,0.76,0.483,1,0.732,neutral,0.0,LOW,0.0,0.0,0.0,surprise,,LOW,0.0,2.1,LOW,LOW,11.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.7, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:41
neutral,neutral,LOW,Stable emotional condition,0.77,0.71,1,0.732,neutral,0.0,LOW,0.0,0.0,0.0,neutral,,LOW,0.0,5.0,LOW,LOW,12.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.2, 'eye_avoidance': 0.0, 'head_movement': 1.7}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 13:23:41
neutral,neutral,LOW,Negative emotional state,0.85,0.382,1,0.733,angry,0.6866666666666666,low,0.4,0.0973,0.795,angry,False,LOW,0.0,16.9,LOW,LOW,12.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 11.7, 'eye_avoidance': 0.0, 'head_movement': 1.6}",UNSTABLE,"{'visual': 0.416, 'audio': 0.584}",False,2026-07-08 13:23:53
