emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,video_quality,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,modality_weights,quality_warning,timestamp
angry,0.82,angry,angry,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.003,STABLE,0,0,CENTER,1.0,0,0.004,"{'yaw': 0, 'pitch': 0, 'roll': 0}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",True,2026-07-08 15:24:46
angry,0.82,angry,angry,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.417,STABLE,0,0,CENTER,1.0,0,0.509,"{'yaw': -5.78, 'pitch': 3.59, 'roll': -0.1}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:47
sad,0.83,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.422,STABLE,0,0,CENTER,1.0,0,0.509,"{'yaw': -5.52, 'pitch': 3.12, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,3.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:47
sad,0.83,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.94,0.423,STABLE,0,0,CENTER,1.0,0,0.51,"{'yaw': -5.29, 'pitch': 3.03, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,3.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:48
sad,0.6,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.91,0.305,STABLE,0,0,CENTER,1.0,0,0.509,"{'yaw': -5.51, 'pitch': 2.84, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.0,3.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:48
sad,0.6,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.305,STABLE,0,0.46,CENTER,1.0,0,0.509,"{'yaw': -5.42, 'pitch': 2.8, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,15.2,3.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 0.2}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:49
neutral,0.74,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.377,STABLE,0,0.5,CENTER,1.0,0,0.51,"{'yaw': -5.1, 'pitch': 2.78, 'roll': -0.12}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,3.2,4.3,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:49
neutral,0.74,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.377,STABLE,0,2.69,CENTER,1.0,0,0.51,"{'yaw': 0.89, 'pitch': 2.0, 'roll': -0.07}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,4.3,4.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 4.3, 'eye_avoidance': 0.0, 'head_movement': 1.3}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:50
neutral,0.97,neutral,neutral,LOW,LOW,LOW,LOW,FOCUSED,0.77,0.495,STABLE,0,3.31,CENTER,1.0,0,0.51,"{'yaw': 1.37, 'pitch': 2.46, 'roll': -0.06}",neutral,0.0,LOW,0.0,0.0,0.0,,LOW,0.0,4.7,5.1,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 1.7}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,2026-07-08 15:24:50
neutral,0.97,neutral,angry,LOW,LOW,LOW,LOW,FOCUSED,0.83,0.371,FLUCTUATING,0,3.78,CENTER,1.0,0,0.509,"{'yaw': 1.99, 'pitch': 1.89, 'roll': -0.08}",angry,0.64,medium,0.42,0.1183,0.829,False,LOW,0.0,16.9,5.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 1.9}",Negative emotional state,"{'visual': 0.482, 'audio': 0.518}",False,2026-07-08 15:25:01
