timestamp,emotion,emotion_confidence,temporal_emotion,temporal_confidence,stress_level,cognitive_load,deception_risk,gaze,yaw,pitch,roll,blink_rate,anomaly_risk,fusion_confidence,final_state,cognitive_assessment
22:30:04,fearful,32.67811923040337,disgust,69.07488107681274,LOW,LOW,LOW,CENTER,-7.493333245370044,10.525837244981721,-0.05501202226330154,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:04,fearful,28.16606819423314,disgust,68.84254813194275,LOW,LOW,LOW,CENTER,-19.773953804316157,11.882851651777324,-0.17130129757339496,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:04,fearful,37.04137436236819,disgust,68.83396506309509,LOW,LOW,LOW,CENTER,-19.008953384483796,13.9193091133586,-0.17009426697778754,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:04,fearful,36.51390512108315,disgust,68.45724582672119,LOW,LOW,LOW,CENTER,-21.73143980701179,13.177392888406832,-0.20591231168159418,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:04,fearful,36.61237003336385,disgust,68.28840970993042,LOW,LOW,LOW,CENTER,-20.379365174552326,11.758616689799394,-0.16381805059009824,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:04,fearful,36.9409666698655,disgust,67.90294647216797,LOW,LOW,LOW,CENTER,-17.096384469896357,11.099564187062821,-0.18181548545949341,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:05,fearful,36.36994579093961,disgust,67.06820726394653,LOW,LOW,LOW,CENTER,-10.4807469534224,11.5555199064904,-0.13765715909895823,0.0,LOW,0.55,Stable emotional condition,Negative emotional trajectory
22:30:05,fearful,34.608041029034844,disgust,66.0145103931427,LOW,LOW,LOW,CENTER,-5.952498044686832,8.59464306350689,-0.0643033382059644,0.0,LOW,0.53,Stable emotional condition,Negative emotional trajectory
22:30:05,fearful,30.19870193717028,disgust,65.57625532150269,LOW,LOW,LOW,CENTER,-6.680591233684314,10.87770445184994,-0.07060754924147285,0.0,LOW,0.51,Stable emotional condition,Negative emotional trajectory
22:30:05,fearful,33.25064998911834,disgust,64.5173192024231,LOW,LOW,LOW,CENTER,-0.27830104056789234,9.571382567095657,0.06293273440069824,0.0,LOW,0.52,Stable emotional condition,Negative emotional trajectory
22:30:05,calm,31.64212194723487,disgust,65.07461667060852,LOW,LOW,LOW,CENTER,4.0534123285666395,6.338505786571924,0.04304116746104373,0.0,LOW,0.52,Stable emotional condition,Negative emotional trajectory
22:30:05,calm,33.5340660376503,disgust,67.41868853569031,LOW,LOW,LOW,CENTER,2.215289567369972,4.476102297510278,0.028275312687813733,0.0,LOW,0.54,Stable emotional condition,Negative emotional trajectory
22:30:05,calm,34.5860664565862,disgust,69.8113739490509,LOW,MEDIUM,LOW,CENTER,1.9245648116439682,5.990375957204825,0.013119564899582992,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
22:30:05,calm,36.19975168346802,disgust,72.43866920471191,LOW,MEDIUM,LOW,CENTER,0.5797723429950503,4.560693094784042,0.025272645984840678,0.0,LOW,0.58,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,44.44811253839693,disgust,74.64239001274109,LOW,MEDIUM,LOW,CENTER,-0.5143008051209289,4.552780158330909,0.025549609666580125,0.0,LOW,0.63,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,32.459607811317866,disgust,76.23152732849121,LOW,MEDIUM,LOW,CENTER,-0.35518863578648435,4.438629619715203,0.03330836132608493,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,32.38298356327337,disgust,77.27093696594238,LOW,MEDIUM,LOW,CENTER,-0.60280683888112,4.832234429544698,0.03896913238613642,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,31.376647556479732,disgust,77.80738472938538,LOW,MEDIUM,LOW,CENTER,-0.6395834508156936,4.085461557958873,0.03293472315567175,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,30.886009859959678,disgust,77.80353426933289,LOW,MEDIUM,LOW,CENTER,-0.3524166594302817,7.511334749652892,0.027974690541544063,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,32.3601077462799,disgust,77.56688594818115,LOW,MEDIUM,LOW,CENTER,-1.212494856516342,9.57243347861143,0.019480323368342708,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,31.575324856491687,disgust,77.17105746269226,LOW,MEDIUM,LOW,CENTER,-1.3001353734105403,8.204091107544457,0.013973830924358973,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:06,calm,31.922862735279566,disgust,76.61787867546082,LOW,MEDIUM,LOW,CENTER,-1.2556726813783692,7.51962466149184,0.024772409701538982,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:07,calm,32.07532485649169,disgust,76.00532174110413,LOW,MEDIUM,LOW,CENTER,-2.947431330666235,8.961542080297573,0.011915842006088351,0.0,LOW,0.58,Stable emotional condition,Negative emotional trajectory
22:30:07,calm,34.06426583235602,disgust,75.33876299858093,LOW,MEDIUM,LOW,CENTER,-3.778208231967719,11.748584535668439,-0.012182413557024593,0.0,LOW,0.59,Stable emotional condition,Negative emotional trajectory
22:30:07,calm,31.22617059426079,disgust,74.67843294143677,LOW,MEDIUM,LOW,CENTER,-4.596393983954731,8.377880057707754,-0.04939778197822723,0.0,LOW,0.57,Stable emotional condition,Negative emotional trajectory
22:30:07,calm,27.953227391093122,disgust,73.92550110816956,LOW,MEDIUM,LOW,CENTER,-5.069356030717903,10.361235133309139,-0.04187301491827198,0.0,LOW,0.56,Stable emotional condition,Negative emotional trajectory
