emotion,visual_emotion_confidence,temporal_emotion,final_emotion,stress_level,visual_stress,cognitive_load,deception_risk,visual_cognitive_state,cognitive_confidence,fusion_confidence,temporal_state,blink_count,movement_score,gaze_direction,gaze_stability,gaze_shift_frequency,video_quality,head_pose,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,risk_score,risk_level,risk_breakdown,cognitive_state,modality_weights,quality_warning,fused_emotion,timestamp
happy,0.74,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.347,STABLE,0,0,CENTER,1.0,0,0.469,"{'yaw': -0.85, 'pitch': 3.19, 'roll': -0.05}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 21:37:02
happy,0.74,happy,happy,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.333,STABLE,0,0,CENTER,1.0,0,0.45,"{'yaw': -1.55, 'pitch': 2.62, 'roll': -0.11}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,happy,2026-07-08 21:37:03
sad,0.85,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.382,STABLE,0,0,CENTER,1.0,0,0.449,"{'yaw': -1.19, 'pitch': 3.83, 'roll': -0.09}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.0,3.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:03
sad,0.85,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.381,STABLE,0,0,CENTER,1.0,0,0.448,"{'yaw': -1.52, 'pitch': 2.94, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.0,3.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:03
sad,0.52,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.233,STABLE,0,0.76,CENTER,1.0,0,0.449,"{'yaw': -1.67, 'pitch': 3.56, 'roll': -0.15}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.4,4.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:04
sad,0.52,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.232,STABLE,1,0.77,CENTER,1.0,0,0.447,"{'yaw': -1.46, 'pitch': 3.9, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.7,3.7,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.0, 'eye_avoidance': 0.0, 'head_movement': 0.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:04
sad,0.91,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,0.93,0.416,STABLE,1,0.82,CENTER,1.0,0,0.457,"{'yaw': -1.64, 'pitch': 4.16, 'roll': -0.14}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.7,3.4,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.5, 'eye_avoidance': 0.0, 'head_movement': 0.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:05
sad,0.91,sad,sad,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.401,STABLE,1,0.81,CENTER,1.0,0,0.441,"{'yaw': -1.2, 'pitch': 2.93, 'roll': -0.12}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.7,3.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 2.1, 'eye_avoidance': 0.0, 'head_movement': 0.4}",Stable emotional condition,"{'visual': 1.0, 'audio': 0.0}",False,sad,2026-07-08 21:37:05
fear,0.93,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,1.0,0.408,STABLE,1,0.84,CENTER,1.0,0,0.439,"{'yaw': -1.24, 'pitch': 2.47, 'roll': -0.13}",neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.8,3.5,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 0.4}",Negative emotional state,"{'visual': 1.0, 'audio': 0.0}",False,fear,2026-07-08 21:37:06
fear,0.93,fear,fear,LOW,LOW,LOW,LOW,FOCUSED,0.82,0.394,FLUCTUATING,1,0.91,CENTER,1.0,0,0.439,"{'yaw': -0.98, 'pitch': 2.24, 'roll': -0.11}",fear,0.27,MEDIUM,0.4167,0.0455,0.663,0.0,0.2864,2.3504,0.7136,0.1422,True,LOW,0.193,28.3,9.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 15.0, 'emotion_instability': 3.3, 'eye_avoidance': 0.0, 'head_movement': 0.5}",Negative emotional state,"{'visual': 0.695, 'audio': 0.305}",False,fear,2026-07-08 21:37:15
