emotion,temporal_emotion,stress_level,cognitive_state,cognitive_confidence,fusion_confidence,blink_count,video_quality,audio_emotion,audio_confidence,audio_stress,audio_stress_confidence,speech_intensity,audio_quality,response_latency,pause_ratio,speech_rate,voiced_ratio,mean_pause,emotion_agreement,fused_stress,fused_stress_score,fusion_score,cognitive_load,deception_risk,risk_score,risk_level,risk_breakdown,temporal_state,modality_weights,quality_warning,fused_emotion,timestamp
unknown,unknown,LOW,Stable emotional condition,0,0.0,0,0.0,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,0.0,LOW,LOW,0.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 0.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 0.5, 'audio': 0.5}",True,unknown,2026-07-09 09:37:14
neutral,neutral,LOW,Stable emotional condition,0.93,0.436,0,0.445,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.0,LOW,LOW,6.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 15.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 09:37:16
neutral,neutral,LOW,Stable emotional condition,0.82,0.414,0,0.422,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,3.0,LOW,LOW,6.6,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 09:37:16
sad,sad,LOW,Stable emotional condition,1.0,0.346,0,0.368,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.0,LOW,LOW,8.0,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 10.0, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,sad,2026-07-09 09:37:16
sad,sad,LOW,Stable emotional condition,1.0,0.367,0,0.39,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,LOW,0.0,15.0,LOW,LOW,7.8,LOW,"{'visual_stress': 0.0, 'audio_stress': 0.0, 'emotion_instability': 7.5, 'eye_avoidance': 0.0, 'head_movement': 0.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,sad,2026-07-09 09:37:17
sad,sad,MEDIUM,Stable emotional condition,0.56,0.174,0,0.371,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEDIUM,0.5,40.0,MEDIUM,LOW,18.1,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 6.0, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,sad,2026-07-09 09:37:17
sad,sad,MEDIUM,Stable emotional condition,0.56,0.177,0,0.377,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEDIUM,0.5,40.0,MEDIUM,LOW,23.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,sad,2026-07-09 09:37:17
neutral,neutral,MEDIUM,Stable emotional condition,0.72,0.218,0,0.39,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEDIUM,0.5,28.0,LOW,LOW,27.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 6.4, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 1.0, 'audio': 0.0}",True,neutral,2026-07-09 09:37:17
neutral,neutral,MEDIUM,Stable emotional condition,0.57,0.241,0,0.43,neutral,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,MEDIUM,0.5,27.8,LOW,LOW,29.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 5.6, 'eye_avoidance': 0.0, 'head_movement': 9.8}",STABLE,"{'visual': 1.0, 'audio': 0.0}",False,neutral,2026-07-09 09:37:18
neutral,neutral,MEDIUM,Stable emotional condition,0.56,0.278,0,0.418,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.335,27.7,LOW,LOW,30.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 5.0, 'eye_avoidance': 0.0, 'head_movement': 9.7}",FLUCTUATING,"{'visual': 0.811, 'audio': 0.189}",False,neutral,2026-07-09 09:37:27
neutral,neutral,MEDIUM,Stable emotional condition,0.56,0.298,0,0.448,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.342,28.0,LOW,LOW,31.3,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 4.5, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 0.821, 'audio': 0.179}",False,neutral,2026-07-09 09:37:28
neutral,neutral,MEDIUM,Stable emotional condition,0.62,0.292,0,0.422,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.336,28.0,LOW,LOW,31.4,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 4.1, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 0.818, 'audio': 0.182}",False,neutral,2026-07-09 09:37:28
neutral,neutral,MEDIUM,Stable emotional condition,0.56,0.294,0,0.424,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.336,28.0,LOW,LOW,31.4,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 0.819, 'audio': 0.181}",False,neutral,2026-07-09 09:37:28
neutral,neutral,MEDIUM,Stable emotional condition,0.56,0.298,0,0.426,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.337,28.0,LOW,LOW,31.2,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 3.5, 'eye_avoidance': 0.0, 'head_movement': 10.0}",STABLE,"{'visual': 0.821, 'audio': 0.179}",False,neutral,2026-07-09 09:37:29
neutral,neutral,MEDIUM,Stable emotional condition,0.56,0.288,0,0.412,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.333,27.8,LOW,LOW,30.9,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 3.2, 'eye_avoidance': 0.0, 'head_movement': 9.8}",STABLE,"{'visual': 0.816, 'audio': 0.184}",False,neutral,2026-07-09 09:37:29
fear,fear,MEDIUM,Negative emotional state,0.38,0.267,0,0.41,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.333,39.5,MEDIUM,LOW,31.0,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 4.0, 'eye_avoidance': 0.0, 'head_movement': 9.5}",FLUCTUATING,"{'visual': 0.804, 'audio': 0.196}",False,fear,2026-07-09 09:37:29
fear,fear,MEDIUM,Negative emotional state,0.37,0.274,0,0.421,sad,0.21,LOW,0.4667,0.0128,0.442,0.1048,0.5528,3.6935,0.4472,0.1469,False,MEDIUM,0.336,39.3,MEDIUM,LOW,30.8,LOW,"{'visual_stress': 17.5, 'audio_stress': 0.0, 'emotion_instability': 3.8, 'eye_avoidance': 0.0, 'head_movement': 9.3}",STABLE,"{'visual': 0.808, 'audio': 0.192}",False,fear,2026-07-09 09:37:29
